"code","size","source","is_dup"
"ABF-061","6.87","E盘日本骑兵","0"
"ABF-074","5.47","E盘日本骑兵","0"
"ABF-101","5.73","E盘日本骑兵","0"
"ABF-225","6.49","F盘日本骑兵","0"
"ABF-238","5.87","F盘日本骑兵","0"
"ABF-279","-","115网盘数据","0"
"ABF-308","-","115网盘数据","0"
"ABP-192","4.32","E盘日本骑兵","0"
"ABP-340","5.69","E盘日本骑兵","0"
"ABP-353","5.88","E盘日本骑兵","0"
"ABP-408","8.02","E盘日本骑兵","0"
"ABP-466","4.74","E盘日本骑兵","0"
"ABP-536","8.42","F盘日本骑兵","0"
"ABP-546","4.15","F盘日本骑兵","0"
"ABP-639","6.71","E盘日本骑兵","0"
"ABP-744","6.37","E盘日本骑兵","0"
"ABP-996","6.34","E盘日本骑兵","0"
"ABW-007","5.5","E盘日本骑兵","0"
"ABW-019","6.12","E盘日本骑兵","0"
"ABW-035","9.66","E盘日本骑兵","0"
"ABW-068","6.4","E盘日本骑兵","0"
"ABW-108","9.06","E盘日本骑兵","0"
"ABW-120","5.36","E盘日本骑兵","0"
"ABW-157","6.32","E盘日本骑兵","0"
"ABW-202","6.56","E盘日本骑兵","0"
"ABW-239","5.45","E盘日本骑兵","0"
"ABW-248","5.9","E盘日本骑兵","0"
"ABW-249","7.24","E盘日本骑兵","0"
"ABW-257","7.13","E盘日本骑兵","0"
"ABW-271","7.24","E盘日本骑兵","0"
"ABW-280","7.68","E盘日本骑兵","0"
"ABW-285","4.63","F盘日本骑兵","0"
"ABW-325","8.94","E盘日本骑兵","0"
"ABW-331","7.68","E盘日本骑兵","0"
"ABW-361","7.83","E盘日本骑兵","0"
"ACC-001","8.67","F盘日本骑兵","0"
"ACC-002","4.74","F盘日本骑兵","0"
"ACC-003","4.78","F盘日本骑兵","0"
"ACC-004","5.12","F盘日本骑兵","0"
"ACC-005","4.79","F盘日本骑兵","0"
"ACC-006","5.57","F盘日本骑兵","0"
"ACHJ-005","5.64","E盘日本骑兵","0"
"ACHJ-012","5.99","E盘日本骑兵","0"
"ACHJ-019","6.37","E盘日本骑兵","0"
"ACHJ-024","7.02","E盘日本骑兵","0"
"ACHJ-076","-","115网盘数据","0"
"ACME-003","2.22","E盘日本骑兵","0"
"ACZ-009","3.68","F盘日本骑兵","0"
"ACZ-112","4.58","F盘日本骑兵","0"
"ACZD-179","2.36","F盘日本骑兵","0"
"ADN-265","4.89","E盘日本骑兵","0"
"ADN-308","4.69","F盘日本骑兵","0"
"ADN-334","5.16","E盘日本骑兵","0"
"ADN-369","5.05","F盘日本骑兵","0"
"ADN-388","4.93","F盘日本骑兵","0"
"ADN-396","5.14","F盘日本骑兵","0"
"ADN-403","6.05","E盘日本骑兵","0"
"ADN-413","4.73","E盘日本骑兵","0"
"ADN-417","4.86","E盘日本骑兵","0"
"ADN-425","5.24","F盘日本骑兵","0"
"ADN-432","5.3","E盘日本骑兵","0"
"ADN-447","5.4","E盘日本骑兵","0"
"ADN-499","5.15","E盘日本骑兵","0"
"ADN-507","5.53","E盘日本骑兵","0"
"ADN-520","4.79","E盘日本骑兵","0"
"ADN-535","5.0","E盘日本骑兵","0"
"ADN-539","3.54","F盘日本骑兵","0"
"ADN-551","12.78","E盘日本骑兵 | F盘日本骑兵","0"
"ADN-569","5.8","F盘日本骑兵","0"
"ADN-571","4.98","F盘日本骑兵","0"
"ADN-586","5.02","F盘日本骑兵","0"
"ADN-597","9.95","F盘日本骑兵","0"
"ADN-610","4.99","F盘日本骑兵","0"
"ADN-619","5.53","F盘日本骑兵","0"
"ADN-639","4.78","F盘日本骑兵","0"
"ADN-649","5.78","E盘日本骑兵","0"
"ADN-657","6.98","F盘日本骑兵","0"
"ADN-686","5.62","F盘日本骑兵","0"
"ADN-690","5.92","F盘日本骑兵","0"
"ADN-712","4.9","F盘日本骑兵","0"
"ADN-719","6.73","F盘日本骑兵","0"
"ADN-732","-","115网盘数据","0"
"ADN-738","-","115网盘数据","0"
"ADN-747","-","115网盘数据","0"
"AES-002","5.86","E盘日本骑兵","0"
"AGAV-106","5.22","E盘日本骑兵","0"
"AGAV-130","5.4","F盘日本骑兵","0"
"AGAV-149","-","115网盘数据","0"
"AGAV-153","-","115网盘数据","0"
"AGMX-242","-","115网盘数据","0"
"AIAV-006","3.14","F盘日本骑兵","0"
"AKDL-099","5.12","E盘日本骑兵","0"
"AKDL-220","5.73","F盘日本骑兵","0"
"AKDL-252","6.12","F盘日本骑兵","0"
"AKDL-342","-","115网盘数据","0"
"AKDL-349","-","115网盘数据","0"
"AKIB-015","9.11","E盘日本骑兵","0"
